id,healthcare,name,name:ru,name:uk,uwagi
way/846195265,blood_donation,Regionalne Centrum Krwiodawstwa i Krwiolecznictwa im. dr Konrada Vietha w Radomiu,Региональная Станция Переливания и Лечения Крови им. Конрада Вета в Радоме,Регіональна Станція Переливання та Лікування Крові ім. Конрада Вета в Радомі,
way/55897076,blood_donation,Regionalne Centrum Krwiodawstwa i Krwiolecznictwa SPZOZ,Региональная Станция Переливания и Лечения Крови Самостоятельное публичное предприятие оздоровительного ухода (СППОД),Регіональна Станція Переливання та Лікування Крові Самостійне публічне підприємство оздоровчого догляду (СППОД),
way/139239796,blood_donation,Regionalne Centrum Krwiodawstwa i Krwiolecznictwa w Bydgoszczy,Региональная Станция Переливания и Лечения Крови в Быдгоще,Регіональна Станція Переливання та Лікування Крові в Бидгощі,
node/8852700955,blood_donation,Regionalne Centrum Krwiodawstwa i Krwiolecznictwa w Katowicach Terenowy Oddział w Zabrzu,Местное Одделение Региональной Станции Переливания и Лечения Крови Забже,Місцеве Відділення Регіональної Станції Переливання та Лікування крові Забже,
way/225274812,blood_donation,Regionalne Centrum Krwiodawstwa i Krwiolecznictwa w Kielcach,Региональная Станция Переливания и Лечения Крови в Кельцах,Регіональна Станція Переливання та Лікування Крові в Кельцях,
way/868128299,blood_donation,Regionalne Centrum Krwiodawstwa i Krwiolecznictwa w Kielcach,Региональная Станция Переливания и Лечения Крови в Кельцах,Регіональна Станція Переливання та Лікування Крові в Кельцях,
node/9537237440,blood_donation,Regionalne Centrum Krwiodawstwa i Krwiolecznictwa w Krakowie,Региональная Станция Переливания и Лечения Крови в Кракове,Регіональна Станція Переливання та Лікування Крові в Кракові,
way/103281446,blood_donation,Regionalne Centrum Krwiodawstwa i Krwiolecznictwa w Łodzi,Региональная Станция Переливания и Лечения Крови в Лодзе,Регіональна Станція Переливання та Лікування Крові в Лодзі,
node/9536864161,blood_donation,Regionalne Centrum Krwiodawstwa i Krwiolecznictwa w Rzeszowie,Региональная Станция Переливания и Лечения Крови в Жешове,Регіональна Станція Переливання та Лікування Крові в Жешуві,
way/30847419,blood_donation,Regionalne Centrum Krwiodawstwa i Krwiolecznictwa w Warszawie,Региональная Станция Переливания и Лечения Крови в Варшаве,Регіональна Станція Переливання та Лікування Крові в Варшаві,
node/963686418,blood_donation,"Regionalne Centrum Krwiodawstwa i Krwiolecznictwa, Terenowy Oddział Toruń",Местное Одделение Региональной Станции Переливания и Лечения Крови Торунь,Місцеве Відділення Регіональної Станції Переливання та Лікування крові Торунь,
node/8641390937,blood_donation,Regionalne Centrum Krwiodawstwa i Krwiolecznictwa. Oddział terenowy,Местное Одделение Региональной Станции Переливания и Лечения Крови,Місцеве відділення Регіональної Станції переливання та лікування крові,
way/655934173,blood_donation,Terenowy Oddział Regionalnego Centrum Krwiodawstwa i Krwiolecznictwa,Местное Одделение Региональной Станции Переливания и Лечения Крови,Місцеве відділення Регіональної Станції переливання та лікування крові,
node/9537237433,blood_donation,Wojskowe Centrum Krwiodawstwa i Krwiolecznictwa TS Kraków,Полевая Станция Военной Станции Переливания и Лечения Крови в Кракове,Польова Станція Військової Станції переливання та лікування крові в Кракові,
node/9535989918,blood_donation,Wojskowe Centrum Krwiodawstwa i Krwiolecznictwa TS w Lublinie SPZOZ,Полевая Станция Военной Станции Переливания и Лечения Крови в Люблине СППОД,Польова Станція Військової Станції переливання та лікування крові в Любліні СППОД,
node/9537592775,blood_donation,Wojskowe Centrum Krwiodawstwa i Krwiolecznictwa Warszawa – Zespół Medyczny,Медицинская Бригада Военной Станции Переливания и Лечения Крови в Варшаве,Медична Бригада Військової Станції переливання та лікування крові в Варшаві,
